Season,Year,Name,Age,Hometown,Occupation,Eliminated
7,2011,Blake Julian,27,"Steamboat Springs, Colorado",Dentist,Eliminated in episode 6
7,2011,"Ryan ""Mickey"" McLean",31,"Rochester, New York",Chef,Withdrew in episode 6
7,2011,Nick Peterson,26,"Odessa, Florida",Personal Trainer,Eliminated in episode 5
7,2011,William Holman,30,"Fostoria, Ohio",Cellular Phone Salesman,Eliminated in episode 5
7,2011,Ben Castoriano,28,"Lake Charles, Louisiana",Lawyer,Eliminated in episode 5
7,2011,West Lee,30,"Walhalla, South Carolina",Lawyer,Eliminated in episode 4
7,2011,Jeff Medolla,35,"St. Louis, Missouri",Entrepreneur,Eliminated in episode 3
7,2011,Chris Drish,25,"Moline, Illinois",Sports Marketing Coordinator,Eliminated in episode 3
7,2011,Bentley Williams,28,"Salt Lake City, Utah",Businessman,Quit in episode 3
7,2011,Matt Colombo,28,"Bridgewater, Massachusetts",Office Supply Salesman,Eliminated in episode 2
7,2011,Ryan Miller,27,"Novi, Michigan",Constructor Estimator,Eliminated in episode 2
7,2011,Stephen D'Amico,27,"Portland, Connecticut",Hairstylist,Eliminated in episode 2
7,2011,Anthony Santucci,28,"Saddle River, New Jersey",Butcher,Eliminated in episode 1
7,2011,Chris Malhomme,27,"Gibbons, Alberta",Construction Company CEO,Eliminated in episode 1
7,2011,Frank Carpenter,29,"Anchorage, Alaska",College Admissions Director,Eliminated in episode 1
7,2011,Jon Ellsworth,26,"Vancouver, Washington",E-Commerce Executive,Eliminated in episode 1
7,2011,Michael Burns,29,"Providence, Rhode Island",Technology Salesman,Eliminated in episode 1
7,2011,Rob Dahm,27,"Monroe, Michigan",Technology Executive,Eliminated in episode 1
7,2011,Tim McCormack,35,"Massapequa, New York",Liquor Distributor,Eliminated in episode 1
8,2012,Jef Holm,27,"Salt Lake City, Utah",Entrepreneur,Winner
8,2012,"Arie Luyendyk, Jr.",30,"Scottsdale, Arizona",Race Car Driver,Runner-up
8,2012,Sean Lowe,28,"Dallas, Texas",Insurance Agent,Eliminated in episode 9
8,2012,Chris Bukowski,25,"Chicago, Illinois",Corporate Sales Director,Eliminated in episode 8
8,2012,John Wolfner,30,"St. Louis, Missouri",Data Destruction Specialist,Eliminated in episode 7
8,2012,Doug Clerget,33,"Tacoma, Washington",Single Dad/Real Estate Agent,Eliminated in episode 7
8,2012,Ryan Bowers,31,"Augusta, Georgia",Pro Sports Trainer,Eliminated in episode 6
8,2012,Travis Pope,30,"Madison, Mississippi",Advertising Sales Representative,Eliminated in episode 6
8,2012,Alejandro Velez,25,"San Francisco, California",Mushroom Farmer,Eliminated in episode 5
8,2012,Kalon McMahon,27,"Houston, Texas",Luxury Brand Consultant,Eliminated in episode 5
8,2012,Charlie Grogan,32,"Worcester, Massachusetts",Recruiter,Eliminated in episode 4
8,2012,Michael Nance,26,"Austin, Texas",Rehab Counselor,Eliminated in episode 4
8,2012,Nathan Baake,25,"Los Angeles, California",Accountant,Eliminated in episode 4
8,2012,Stevie Alberino,26,"Monroe Township, New Jersey",Party M.C.,Eliminated in episode 3
8,2012,Alessandro Goulart,30,"Saint Paul, Minnesota",Grain Merchant,Eliminated in episode 3
8,2012,Tony Pieper,31,"Beaverton, Oregon",Single Dad/Lumber Trader,Eliminated in episode 3
8,2012,Aaron Martell,36,"North Sydney, Nova Scotia",Biology Teacher,Eliminated in episode 2
8,2012,Kyle Dillon,29,"Long Beach, California",Financial Adviser,Eliminated in episode 2
8,2012,Joe Gendreau,27,"Orlando, Florida",Field Energy Adviser,Eliminated in episode 2
8,2012,Brent Richter,41,"Midland, Texas",Technology Salesman,Eliminated in episode 1
8,2012,David Homyk,33,"Charlottesville, Virginia",Singer/Songwriter,Eliminated in episode 1
8,2012,Jackson Longnecker,29,"Lockport, Illinois",Fitness Model,Eliminated in episode 1
8,2012,Jean-Paul LaCount,35,"Moraga, California",Marine Biologist,Eliminated in episode 1
8,2012,Lerone Anu,29,"Laguna Beach, California",Real Estate Consultant,Eliminated in episode 1
8,2012,Randy Lee Woyak,30,"Oak Creek, Wisconsin",Marketing Manager,Eliminated in episode 1
9,2013,Chris Siegfried,27,"McMinnville, Oregon",Mortgage Broker,Winner
9,2013,Drew Kenney,27,"Scottsdale, Arizona",Digital Marketing Analyst,Runner-up
9,2013,Brooks Forester,28,"Salt Lake City, Utah",Sales & Marketing,Withdrew in episode 9
9,2013,Zak Waddell,31,"Dallas, Texas",Drilling Fluid Engineer,Eliminated in episode 8
9,2013,Michael Garofola,33,"Lindenhurst, New York",Federal Prosecutor,Eliminated in episode 7
9,2013,James Case,27,"Marietta, Georgia",Advertising Executive,Eliminated in episode 6
9,2013,Juan Pablo Galavis,31,"Barquisimeto, Venezuela",Former Pro Soccer Player,Eliminated in episode 6
9,2013,Kasey Stewart,29,"Tulsa, Oklahoma",Advertising Executive,Eliminated in episode 6
9,2013,Mikey Tenerelli,30,"Glen Ellyn, Illinois",Plumbing Contractor,Eliminated in episode 5
9,2013,Ben Scott,28,"Lubbock, Texas",Entrepreneur,Eliminated in episode 5
9,2013,Bryden Vukasin,26,"Havre, Montana",Iraq War Veteran,Quit in episode 5
9,2013,Zack Kalter,28,"Phillips Ranch, California",Book Publisher,Eliminated in episode 4
9,2013,Brad McKinzie,27,"Denver, Colorado",Accountant/DJ,Eliminated in episode 4
9,2013,Brandon Andreen,26,"Blaine, Minnesota",Painting Contractor,Eliminated in episode 3
9,2013,Dan Cox,30,"Dublin, California",Beverage Sales Director,Eliminated in episode 3
9,2013,Brian Jarosinski,29,"Olney, Maryland",Financial Advisor,Removed in episode 3
9,2013,Nick Mucci,27,"Rochester, New York",Investment Adviser,Eliminated in episode 2
9,2013,Robert Graham,30,"Glendale, Arizona",Advertising Entrepreneur,Eliminated in episode 2
9,2013,Will Reese,28,"Federal Way, Washington",Banker,Eliminated in episode 2
9,2013,Diogo Custodio,29,"Penha, Brazil",Ski Resort Manager,Eliminated in episode 1
9,2013,Larry Burchett,34,"Overland Park, Kansas",ER Doctor,Eliminated in episode 1
9,2013,Micah Heisler,32,"Detroit Lakes, Minnesota",Law Student,Eliminated in episode 1
9,2013,Mike Ryatuk,28,"London, England",Dental Student,Eliminated in episode 1
9,2013,Nick Roy,26,"Ridgefield, Connecticut",Tailor/Magician,Eliminated in episode 1
9,2013,Jonathan Vollinger,26,"Hickory, North Carolina",Lawyer,Eliminated in episode 1
10,2014,Josh Murray,29,"Tampa, Florida",Former Professional Baseball Player,Winner
10,2014,Nick Viall,33,"Waukesha, Wisconsin",Software Sales Executive,Runner-up
10,2014,Chris Soules,32,"Lamont, Iowa",Farmer,Eliminated in episode 9
10,2014,Marcus Grodd,25,"Medicine Hat, Alberta",Sports Medicine Manager,Eliminated in episode 8
10,2014,Brian Osborne,27,"Harrisburg, Pennsylvania",Basketball Coach,Eliminated in episode 7
10,2014,Dylan Petitt,26,"Longmeadow, Massachusetts",Accountant,Eliminated in episode 7
10,2014,J.J. O'Brien,30,"Hanover, Massachusetts",Pantsapreneur,Eliminated in episode 6
10,2014,Cody Sattler,28,"Oakley, Kansas",Personal Trainer,Eliminated in episode 6
10,2014,Andrew Poole,30,"Portola Valley, California",Social Media Marketer,Eliminated in episode 5
10,2014,Marquel Martin,26,"Rialto, California",Sponsorship Salesman,Eliminated in episode 5
10,2014,Patrick Jagodzinski,29,"Clinton, New Jersey",Advertising Executive,Eliminated in episode 5
10,2014,Tasos Hernandez,30,"Denver, Colorado",Wedding Event Coordinator,Eliminated in episode 4
10,2014,Eric Hill,31,"Citrus Heights, California",Explorer,Eliminated in episode 4
10,2014,Bradley Wisk,32,"Grosse Pointe, Michigan",Opera Singer,Eliminated in episode 3
10,2014,Brett Melnick,29,"Warminster, Pennsylvania",Hairstylist,Eliminated in episode 3
10,2014,Ron Worrell,28,"Nahariya, Israel",Beverage Sales Manager,Quit in episode 3
10,2014,Carl King,30,"Hollywood, California",Firefighter,Eliminated in episode 2
10,2014,Craig Muhlbauer,29,"Defiance, Iowa",Tax Accountant,Eliminated in episode 2
10,2014,Nick Sutter,27,"Chicago, Illinois",Professional Golfer,Eliminated in episode 2
10,2014,Emil Schaffroth,33,"Portland, Oregon",Helicopter Pilot,Eliminated in episode 1
10,2014,Jason Leep,35,"Sturgeon Bay, Wisconsin",Urgent Care Physician,Eliminated in episode 1
10,2014,Josh Bauer,29,"Evergreen, Colorado",Telecommunication Marketer,Eliminated in episode 1
10,2014,Mike Campanelli,29,"Guilderland, New York",Bartender,Eliminated in episode 1
10,2014,Rudie Dane,31,"Yorba Linda, California",Attorney,Eliminated in episode 1
10,2014,Steven Woolworth,30,"Meadow Vista, California",Snowboard Product Developer,Eliminated in episode 1
